id,titlu,autor,imagine,isbn,editura,categorie_id,pret,an_aparitie,nr_pg,tip_coperta,limba,dimensiune,cantitate
,Puterea intentiei,Wayne W. Dyer,,978-606-44-0226-4,CURTEA VECHE,Psihologia practica,49.00,2019,320,Necartonata,Romana,200 x 130 x 20 mm,20
,Arta subtila a nepasarii,Mark Manson,,978-606-789-109-6,LIFESTYLE,Psihologia practica,49.00,2017,238,Necartonata,Romana,200 x 130 x 20 mm,30
,Secretele succesului,Dale Carnegie,,978-606-44-0073-4,CURTEA VECHE,Psihologia practica,47.00,2018,296,Necartonata,Romana,210 x 150 x 20 mm,26
,Despre somn,Emilia Vasiliu,,978-606-980-040-9,VELLANT,Psihologia practica,49.90,2018,440,Necartonata,Romana,200 x 130 mm,15
,Din cer au cazut trei mere,Narine Abgarian,,978-606-779-856-2,HUMANITAS,Literatura universala,32.00,2022,264,Necartonata,Romana,200 x 130 x 13 mm,18
,Cascada ingerilor,Kristin Hannah,,978-606-33-8383-0,LITERA,Romane de dragoste,49.90,2022,304,Necartonata,Romana,200 x 135 x 20 mm,13
,Invitatia la vals,Mihail Drumes,,978-606-710-869-9,GRUPUL EDITORIAL ART,"Romane de dragoste, Literatura romana",38.00,2022,344,Necartonata,Romana,200 x 140 x 29 mm,23
,De veghe in lanul de secara,J.D. Salinger,,978-973-46-2031-9,POLIROM,"Literatura universala, Carti pentru adolescenti",34.95,2011,280,Necartonata,Romana,180 x 110 mm,22
,Cantec de leagan de la Auschwitz,Mario Escobar,,978-606-006-458-9,RAO,"Literatura universala, Romane inspirate de Holocaust, Romane mitologice si istorice",35.99,2021,240,Necartonata,Romana,200 x 130 x 16 mm,40
,Maitreyi,Mircea Eliade,,978-606-8391-40-3,AGORA,"Carti pentru adolescenti, Literatura clasica",17.90,2021,210,Necartonata,Romana,200 x 130 mm,33
,Romanul adolescentului miop,Mircea Eliade,,978-973-87111-7-7,TANA,"Literatura clasica, Literatura romana",35.00,2019,368,Necartonata,Romana, 200 x 130 x 20 mm,23
,Nunta in cer,Mircea Eliade,,978-973-88323-2-9,TANA,"Literatura romana, Literatura clasica",22.00,2018,160,Necartonata,Romana,200 x 130 x 9 mm,45
,Imperiul Celtic,"Clive Clussler, Dirk Cussler",,978-606-006-544-9,RAO,"Literatura universala, Carti de aventura",52.00,2021,416,Cartonata,Romana,210 x 135 x 32 mm,22
,Fata care a imblanzit vantul,Meg Medina,,978-606-609-553-2,RAO,Carti de aventura,29.99,2014,228,Cartonata,Romana,200 x 130 mm,32
,Poezii,Mihai Eminescu,,978-606-33-1840-5,LITERA,"Poezie, Literatura romana",14.90,2020,192,Necartonata,Romana,200 x 130 x 11 mm,43
,"Cuvintelor, necuvintelor",Nichita Stanescu,,978-9975-86-589-0,CARTIER,"Poezie, Literatura romana",49.00,2022,256,Cartonata,Romana,200 x 140 x 30 mm,24
,Tu ai un fel de paradic al tau,Nichita Stanescu,,978-9975-3420-9-4,BESTSELLER,"Poezie, Literatura romana",59.00,2021,112,Necartonata,Romana,200 x 130 x 19 mm,13
,Patul lui Procust,Camil Petrescu,,978-606-8391-11-3,AGORA,"Literatura clasica, Literatura romana",34.00,2012,336,Necartonata,Romana,200 x 130 x 20 mm,28
