id_client,id_carte,comentariu,rating,data_review,titlu
1,1,O carte foarte speciala pentru dezvoltarea spirituala a oricarui om ,5,2022-10-10,Recomand
2,1,"O carte buna, merita citita",5,2023-01-20,Multumita
3,2,Una dintre cele mai bune carti de dezvoltare personala pe care am citit-o!,5,2023-01-21,Recomand
4,2,"Nu prea spune nimic nou, dar iti da niste idei",3,2023-03-21,Ok
5,2,Este o carte excelenta! O recomand tututror!,5,2023-04-21,Foarte buna!
6,2,Nu pot spune ca am alte idei noi dupa ce am citit-o,2,2022-11-10,Asa si asa
7,2,O carte foarte interesanta! Pe mine m-a captivat!,5,2023-06-21,Recomand
8,2,"Nu este genul meu, nu mi-a placut deloc!",1,2023-01-25,Nu recomand!
1,3,Ma asteptam sa aiba mai multe informatii din domeniul financiar. Totusi ofera sfaturi mereu valabile intr-o lume schimbatoare,4,2023-03-12,Ok
2,3,Foarte buna cartea!,5,2023-04-26,Recomand
3,3,Dale Carnegie este unul dintre cei mai buni autori de carti pentru dezvoltare personala. Recomand aceasta carte!,5,2023-05-28,Recomand
4,3,Merita citita!,5,2023-02-01,Recomand
5,6,Un volum foarte frumos!,5,2022-12-01,Exceptionala!
6,6,"O carte foarte frumoasa, se numara printre favoritele mele!",5,2023-02-02,Exceptionala!
7,6,"O poveste impresionanta de dragoste, insa as fi vrut mai multa actiune",3,2023-03-13,Ok
8,8,"Nu stiu de ce nu am citit-o pana acum, este exceptionala!",5,2023-05-11,Exceptionala!
1,8,Merita citita!,4,2023-04-18,Recomand
2,8,O poveste de dragoste care iti ramane in minte multa vreme!,5,2022-10-30,Exceptionala!
3,8,O carte excelenta! O recomand tuturor!,5,2023-04-29,Recomand
4,11,"O carte foarte interesanta, potrivita pentru orice adolescent!",5,2023-06-12,Excelenta!
6,11,Este usor de citit,4,2023-02-27,Recomand
5,11,Am citit de mai multe ori aceasta carte! Este minunata!,5,2023-01-21,Exceptionala!
7,21,"Dupa cateva rasfoiri, mi s-au desprins cateva pagini! :(",1,2023-02-04,Nu recomand!
8,21,Un atlas foarte util si usor de invatat de pe el!,4,2023-01-29,Merita
2,21,Un atlas util pentru consolidarea informatiilor.,4,2023-02-06,Merita
3,24,Atlasul este extrem de interesant si util.,5,2022-10-25,Recomand
4,24,"Este o carte extraordinara, merita achizitionata!",5,2023-03-06,Super!
5,22,O carte care te invata sa gandesti simplu problemele ce par a fi complicate.,4,2023-04-06,Recomand
6,22,"Fara a fi un fan al matematicii, am descoperit lucruri interesante!",5,2023-05-06,Super!
7,35,Pretul este unul supraevaluat!,2,2023-02-13,Nu merita!
8,60,O carte adresata mai mult corporatistilor.,2,2023-02-18,Ok
1,60,Unele idei sunt depasite de vremurile in care traim.,3,2022-12-22,Nu recomand!
2,77,O carte minunata cu o poveste impresionanta!,4,2023-03-08,Exceptionala!
4,77,Cartea induce cititorului acea atmosfera magica a basmelor rusesti.,4,2023-04-16,Recomand
3,76,"Este o carte horror, nicidecum pentru o lectura placuta si linistitoare! Nu este o carte destinata copiilor!",1,2023-04-26,Nu cumparati!
5,76,O poveste interesanta despre o fata cu o imaginatie bogata.,4,2023-05-26,Ok
6,85,"Coperta simpatica, abordare ok.",4,2023-04-26,Merita
7,85,O carte destul de interesanta.,4,2022-11-11,Recomand
